,id,comment
0,297046299,"['Если человеку нравится делать маникюр себе и другим людям, то почему нет? Профессиональный мастер маникюра может хорошо получать за свою работу. \nВ тиктоке натыкалась на три аккаунта маникюра, где мастера мужчины.\nВ статье сказано, что за месяц парень зарабатывает 80 тыс.рублей. Интересно, это чистыми или без вычета расходов?']"
1,425881183,"['Я победила муссона в мгр урааа', 'Блин, ребят, фиг с ним. Скажите как Муссона в мгр победить пж']"
2,581215134,['Тот самый Анатолий ноготочки?']
3,503582303,"['Вахтовикам надо делать ДНК тесты своим детям. Велики шансы, что детки зачаты от соседей :)']"
4,34853753,['Подумала сначала что лентач сломался']
5,166964305,"['Сейчас деньги имеют либо крутой айтишник, либо торгаш-жульё.']"
6,545625186,['Помянем срочников']
7,42653787,['слышь служить']
8,118793196,['Кто прочитал тот попадет в рай']
9,225851917,"['Кто прочитал, тот попал в ДНР', 'Запрет экспорта высоких технологий из ДНР', '1853-2022. Можем повторить.']"
10,596620671,['Лучше СМСкой.']
11,53745,"['Да что там делать в этом военкомате? Скучное место с плохим ремонтом. Да и что там, мёдом намазано? Зачем идти туда? Не ходите!']"
12,569718812,"['Че зумерки, страшно? Ничего, послужите, а мы займемся вашими зумершами.', 'А против 99 не ввел. Лица коллег представили, когда кто-то сгонял на недельку в Монако, а кто-то нет.']"
13,307149531,['Программа по обмену срочниками с лднр будет?']
14,183156311,"['Ну, с праздником!']"
15,449900112,['С ПРАЗДНИКОМ МУЖИКИ!!!! ЭТо лучший подарок на 23 февраля!']
16,373139859,['']
17,500418628,['']
18,290898901,"['Если не фейк, то это писдес))) Запарятся теперь от санкций отмываться)) Дети домой, деньги заблокированы... всё к этому и шло.']"
19,532417456,['']
20,1541640,['Ещё бы пропагандонов с семьями бы разлучили....']
21,94771722,"['красота, осталось всех выселить оттуда 😁']"
22,26748482,"['Да ладно, всем же известно, что у депутатов в основном иностранное гражданство- это гражданство стран СНГ и активы там же']"
23,41590957,['']
24,35774108,"['Скидываемся пацаны, мы русские, своих не бросаем']"
25,25074068,['так а че радоваться? все равно за счет нас все возместят себе']
26,427331004,"['""Там [в Европе] одни мигранты, грязь страшная"". В Госдуме РФ заявили, что российские чиновники и депутаты уже давно ""не в восторге"" от заграничного отдыха и шопинга, поэтому западные санкции точно не будут восприняты ими как катастрофа.']"
27,294686013,['Я думал цифры внушительнее будут.']
28,175901838,['Ужас ))) доширак небось теперь есть начнут ))']
29,424643917,['А зачем вообще признали ЛНР и ДНР? Я этого никак не пойму']
30,151695879,"['⚡️Youtube-канал Владимира Соловьева, твиттер, фейсбук и прочие соц.сети будут заблокированы в связи с персональными санкциями США.\n\nАналогичные санкции коснуться и Маргариту Симоньян']"
31,245962695,"['Не настолько, чтобы обнищать.']"
32,685416930,"['Ночные 3,14доры устроили мотопробег в честь ЛДНР.']"
33,408609229,"['Если только за счет новатэка, так это ж пузырь, все вернется в скором времени. Так себе новость)']"
34,633650240,"['Шот это, как то ну не очень смешно что ли']"
35,166526704,"['С праздником посоны!', 'А он вывез своих детей из за границы?']"
36,209700703,['Было бы смешнее если бы приносили в жертву Императору Человечества']
37,18505970,['И с днём защитника  не служил нимужик !']
38,15670962,['В этом хотя бы есть смысл']
39,575044457,"['👍🏻Присоединяюсь к пожеланию «Лентача»!👍🏻 Пусть не будет никаких повесток и никакой войны!… Тешу себя надеждой, основанной на том, что даже самые пессимистичные прогнозы указывают на то, что невольников (солдат-срочников) Путин отправлять на войну не рискнёт. Как обычно, для своих авантюр, он будет использовать контрактников, всяких идейных «борцов за русский мир», и прочих «вагнеровцев». Ну а покуда так, то с российской стороны – не будет невинных жертв, достойных какого-либо сочувствия. \n \nЭто я к тому, что если путинской агрессии против Украины суждено все-таки быть – то пусть будут благословенны «джевелины» и прочие «байрактары». Чем больше они сделают фарша из этих вторгшихся отморозков, и чем щедрее удобрят их ошмётками украинскую землю – тем лучше будет для всех нас…']"
40,702428733,"['Мне интересно, а на что у них теперь не будет хватать?']"
41,241502347,"['Учитывая, что вчера в втором чтении одобрили новый законопроект о повестках...\nВот вообще не смешно']"
42,153034634,['https://prizyvanet.ru/']
43,194904350,"['тем временем рубль', 'менты с рублёвки снимают девок дорогих. с петровым походу забухали на 23 февраля', 'А нужно скупать гробы и нам и им пока дорогим дефицитом не стало, глупые']"
44,52134919,['Уровень кринжа в мире растёт в геометрической прогрессии.']
45,824457,['']
46,5020238,['Сраный стульчак. Хм...']
47,354457579,"['они так красиво говорят, а когда перед дедом стоят, то ""я... а.. э.."")']"
48,623068714,"['Так это же в кубе получается уже, нет?']"
49,1793166,['Блещет умом']
50,1900946,['генерал Бубута']
51,658626224,['А потом и турчак наложит в штаны от близости с российским народом😎']
52,363110884,"['воронеж, задраить люки!']"
53,63592504,['Наконец воронеж разбомбят']
54,12003996,['🤣😂😅 Eбaный хохотач']
55,377242274,['Зачем давать ответ на то что являтся ПОЛЬЗОЙ ? Какой в этом смысл ?']
56,18351337,['Воронеж мы с тобой 🤣🤣🤣🤣']
57,82693180,['Можно нинада :(']
58,551892568,"['Еще больше будут в телеканалах кричать, как США скоро каюк']"
59,268927,['Всем чиновникам США запретят въезд в РФ и заблокируют их счета в российских банках?']
60,475239,"['Вполне могут запретить экспорт титана, палладия и неона в ответ на запрет импорта иностранных технологий в Россию. Боинг, Аэрбас будут тогда делать из дерева, а процессоры и чипы из воздуха.']"
61,8302196,['Уроки истории один за одним']
62,42228186,"['Опа, уроки истории от западных коллег']"
63,17100090,['Еще один повторист']
64,505614835,"['Сюжет раскручивается, жду новую серию']"
65,217170719,['что за историки пошли 🥱']
66,110949099,"['Да мы в курсе, сами в а.уе...']"
67,1827154,"['Ну пусть пожалуют в Крым, посмотрим - на что они способны сегодня)\n\nКак бы им их меховые шапки не повыворачивали мехом внутрь и их вместе с шапками...']"
68,13173564,"['""У России два врага: чернослив и курага."" - Николай I']"
69,11269438,['Уже пробовали пнуть']
70,522206166,"['Думаю все понимают, почему...']"
71,4135040,"['Официальный представитель\xa0МИД\xa0КНР\xa0Хуа Чуньин\xa0заявила, что Китай выступил против санкций в отношении России.']"
72,570590894,"['Самое главное кокос вывезти, он ещё нужен для международной дипломатии 😜']"
73,13540074,['']
74,30889061,['Да че будет с дипломатами? Это ж чемодан']
75,706116097,['А теперь начни войну']
76,701820658,['Это твари!']
77,705572723,"['Ура закончился отдых у кремлевских на лазурном берегу, пусть сейчас в крыму и краснодаре отдыхают, еще всю их шушуру сынков и дочек обратно в россию гоните и закройте все счета и фирмы😂😂😂', 'По быстрей бы он сдох...']"
78,706692301,['https://vk.com/music/playlist/534072321_21']
79,20153631,"['ой-ой....тушёночная невеста нас раскрыла ! (с)\nСпецназ США покинул Украину, их последней миссией было сопровождение американских дипломатов в Польшу — передают CNN']"
80,539517097,['Подорвать очередной раз Чернобыль 👍']
81,578419768,['Это в кратце? \nНадеюсь нет 1 часового лекции?']
82,706313396,['Спойлер: нет (?).']
83,365115945,"['Было бы у Украины ЯО, то и проблем не было таких. Любой стране, которая находится на грани уничтожения, необходима ЯО.']"
84,52131438,"['Украинские обычные боеприпасы неоднократно падали на территорию России, и в абсолютном большинстве случаев это была явная случайность, поэтому возникают сомнения в том, что ядерными боеприпасами эта страна сможет управлять более точно.\n\nдальше читать не стал']"
85,12937086,"['А зачем это всё,если нужно просто развиваться экономике,соц политике и тд']"
86,28446576,['ЯО на территории Украины это угроза всем нашим заброшенным сараям (с)']
87,476183499,['БудаПештский меморандум был ошибкой']
88,294712608,"['Так это заявил Зеленский, если это не так, то получается лентач доказывает, что президент Украины балабол.']"
89,371859512,"['Зеленский говорил про несоблюдение будапештского меморандума, и говорила, если нам не могут обеспечить безопасность, тогда нам придется создавать снова ядерное оружие. А причиной как раз и был риск эскалации.\nДед перекрутил максимально, мол Украина собирается уже бомбы делать и все условия есть (будто это в подвалах в Чернобыле можно с изолентой сделать ядерное оружие)']"
90,349295221,['']
91,114711538,['Ультанул']
92,548470384,"['ХАХАХАХАХААХАХАХАХАХАХАХАХХАХА бляяяять', 'dead inside', 'Парни бросили расстроились и прыгнули вот долбаёбы']"
93,496069211,['']
94,24421808,['На это и был расчёт семьи😏']
95,416169979,['мой уровень везения:']
96,524322285,['Лох']
97,577041184,"['Блять а как радоваться', '2', 'Golden wind']"
98,215769995,['']
99,683464325,"['Я ""умираю"" каждый раз от счастья , когда мой парень дарит мне что нибудь дорогое)']"
100,474262483,['1']
101,644143754,['3']
102,457195376,['4']
